t fi z E
2.510000 -0.590930 1.935405 0.804023
2.520000 -0.582887 1.941756 0.802643
2.530000 -0.573312 1.948083 0.801346
2.540000 -0.562245 1.954389 0.800144
2.550000 -0.549726 1.960676 0.799050
2.560000 -0.535798 1.966947 0.798074
2.570000 -0.520510 1.973206 0.797225
2.580000 -0.503912 1.979457 0.796513
2.590000 -0.486055 1.985703 0.795945
2.600000 -0.466998 1.991949 0.795529
2.610000 -0.446797 1.998199 0.795268
2.620000 -0.425515 2.004457 0.795167
2.630000 -0.403216 2.010727 0.795227
2.640000 -0.379966 2.017013 0.795449
2.650000 -0.355833 2.023321 0.795831
2.660000 -0.330890 2.029654 0.796370
2.670000 -0.305208 2.036015 0.797060
2.680000 -0.278863 2.042409 0.797894
2.690000 -0.251930 2.048840 0.798863
2.700000 -0.224486 2.055310 0.799956
2.710000 -0.196610 2.061822 0.801160
2.720000 -0.168381 2.068380 0.802462
2.730000 -0.139879 2.074985 0.803845
2.740000 -0.111182 2.081639 0.805295
2.750000 -0.082372 2.088343 0.806793
2.760000 -0.053526 2.095100 0.808322
2.770000 -0.024724 2.101908 0.809863
2.780000 0.003957 2.108770 0.811399
2.790000 0.032441 2.115683 0.812912
2.800000 0.060653 2.122648 0.814384
2.810000 0.088521 2.129664 0.815800
2.820000 0.115973 2.136729 0.817144
2.830000 0.142942 2.143842 0.818401
2.840000 0.169360 2.150999 0.819559
2.850000 0.195164 2.158200 0.820608
2.860000 0.220295 2.165441 0.821537
2.870000 0.244694 2.172719 0.822339
2.880000 0.268307 2.180031 0.823008
2.890000 0.291082 2.187373 0.823540
2.900000 0.312972 2.194743 0.823932
2.910000 0.333931 2.202136 0.824184
2.920000 0.353918 2.209549 0.824296
2.930000 0.372895 2.216978 0.824270
2.940000 0.390826 2.224420 0.824111
2.950000 0.407682 2.231870 0.823822
2.960000 0.423433 2.239326 0.823410
2.970000 0.438054 2.246784 0.822881
2.980000 0.451523 2.254241 0.822244
2.990000 0.463822 2.261692 0.821506
3.000000 0.474936 2.269137 0.820676
3.010000 0.484851 2.276571 0.819763
3.020000 0.493558 2.283992 0.818778
3.030000 0.501050 2.291399 0.817731
3.040000 0.507322 2.298789 0.816630
3.050000 0.512374 2.306160 0.815488
3.060000 0.516206 2.313512 0.814313
3.070000 0.518823 2.320842 0.813116
3.080000 0.520229 2.328151 0.811908
3.090000 0.520434 2.335438 0.810699
3.100000 0.519449 2.342702 0.809498
3.110000 0.517286 2.349944 0.808315
3.120000 0.513962 2.357165 0.807159
3.130000 0.509493 2.364365 0.806040
3.140000 0.503899 2.371544 0.804967
3.150000 0.497201 2.378705 0.803948
3.160000 0.489425 2.385849 0.802991
3.170000 0.480594 2.392977 0.802103
3.180000 0.470737 2.400092 0.801293
3.190000 0.459882 2.407196 0.800565
3.200000 0.448063 2.414291 0.799927
3.210000 0.435310 2.421379 0.799384
3.220000 0.421659 2.428463 0.798940
3.230000 0.407147 2.435546 0.798599
3.240000 0.391811 2.442631 0.798364
3.250000 0.375691 2.449721 0.798236
3.260000 0.358828 2.456818 0.798218
3.270000 0.341263 2.463925 0.798310
3.280000 0.323042 2.471046 0.798510
3.290000 0.304208 2.478182 0.798817
3.300000 0.284807 2.485338 0.799228
3.310000 0.264887 2.492514 0.799740
3.320000 0.244495 2.499715 0.800347
3.330000 0.223679 2.506942 0.801045
3.340000 0.202489 2.514198 0.801826
3.350000 0.180975 2.521484 0.802683
